Execution time,5940.005583047867
Selected Images,Cost,Cloud Coverage,Resolution,Incidence Angle
"[7, 13, 15, 17, 22, 23]",4163216.0,165440.0,28.9
"[7, 13, 15, 17, 19, 22, 28]",4204616.0,165100.0,28.9
"[7, 13, 15, 17, 22, 23, 28]",4283816.0,164640.0,28.9
"[2, 7, 13, 15, 17, 22, 23]",4380530.0,164240.0,28.9
"[2, 7, 13, 15, 17, 19, 22, 28]",4421930.0,163900.0,28.9
"[2, 7, 13, 15, 17, 22, 23, 28]",4501130.0,163440.0,28.9
"[7, 13, 15, 17, 19, 22, 23, 28]",4660016.0,163100.0,28.9
"[2, 7, 13, 15, 17, 19, 22, 23]",4756730.0,162700.0,28.9
"[2, 7, 11, 13, 15, 17, 22, 23, 28]",4875530.0,162320.0,28.9
"[2, 7, 13, 15, 17, 19, 22, 23, 28]",4877330.0,161900.0,28.9
"[2, 7, 11, 13, 15, 17, 19, 22, 23]",5131130.0,161620.0,28.9
"[2, 7, 11, 13, 15, 17, 19, 22, 23, 28]",5251730.0,160820.0,28.9
"[2, 7, 9, 11, 13, 15, 17, 19, 22, 23, 28]",5627930.0,160760.0,28.9
"[2, 5, 7, 9, 11, 13, 15, 17, 19, 22, 23, 28]",6025730.0,160740.0,28.9
