experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
38,13-20-14-0-19-5-24-23-22-1-16-7-6-17,0-1-5-6-7-13-14-16-17-19-20-22-23-24,14,15755.441793988934,5.614643258614504,0.0,0.0
39,17-9-4-11-10-6-5-12-1,1-4-5-6-9-10-11-12-17,9,12125.232552943766,4.320974054722636,0.0,0.0
40,29-17-8-5-20-13-22-1-25-26-2-11,1-2-5-8-11-13-17-20-22-25-26-29,12,15227.861557068436,5.426633626175377,0.0,0.0
41,21-1-23-11-16-13-28-17,1-11-13-16-17-21-23-28,8,9397.930856943996,3.349066933241904,0.0,0.0
42,9-17-1-0-11-4,0-1-4-9-11-17,6,10306.869550825464,3.672978288875391,0.0,0.0
43,13-19-25-8-0-16-5-6-10-12-1,0-1-5-6-8-10-12-13-16-19-25,11,16187.090398500826,5.768466487382211,0.0,0.0
44,18-17-10-12-2-24-29-23-8-5-11-6-1,1-2-5-6-8-10-11-12-17-18-23-24-29,13,15301.556170538124,5.452895597761071,0.0,0.0
45,13-2-5-20-11-6-10-17-1,1-2-5-6-10-11-13-17-20,9,12668.927549166596,4.5147263775835285,0.0,0.0
46,28-11-23-24-12-13-16-22-6-10-17-29-1,1-6-10-11-12-13-16-17-22-23-24-28-29,13,15700.443023618453,5.595043778045795,0.0,0.0
47,22-4-13-1-18-7-25-16-28-17-8-2-21-23-11,1-2-4-7-8-11-13-16-17-18-21-22-23-25-28,15,17076.17918960609,6.085304088800244,0.0,0.0
48,8-15-22-26-14-4-2-10-19-7-25-11-17-12-29-5-1,1-2-4-5-7-8-10-11-12-14-15-17-19-22-25-26-29,17,19516.81570747748,6.955054588403695,0.0,0.0
49,22-3-25-4-2-12-16-5-6-0-13-11-10-1,0-1-2-3-4-5-6-10-11-12-13-16-22-25,14,19818.50313576225,7.062564571784427,0.0,0.0
50,0-5-27-29-1-15-6-11-17-13,0-1-5-6-11-13-15-17-27-29,10,13449.288316808277,4.7928174257823954,0.0,0.0
51,5-8-16-7-4-29-13-11-23-17-12-1,1-4-5-7-8-11-12-13-16-17-23-29,12,12918.84996578765,4.603789269630987,0.0,0.0
52,1-28-22-0-11-24-17-13,0-1-11-13-17-22-24-28,8,12573.05064022062,4.480559475283417,0.0,0.0
53,1-16-8-6-7-25-21-17-4-0,0-1-4-6-7-8-16-17-21-25,10,14365.355683319454,5.119269170587231,0.0,0.0
54,5-0-16-10-17-1,0-1-5-10-16-17,6,10361.197521758028,3.6923387219079387,0.0,0.0
