experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
15,6-21-4-29-28-9-11-2-10-5-13-12-3-19-14-24,2-3-4-5-6-9-10-11-12-13-14-19-21-24-28-29,16,11626.782616351189,5.696035514820715,0.0,0.0
16,17-22-21-1-20-15-5-28-2-18-12-24-13-9-29,1-2-5-9-12-13-15-17-18-20-21-22-24-28-29,15,11164.91519555476,5.469763697517166,0.0,0.0
17,18-26-17-16-19-0-27-2-12-28-13-29-5-9-24,0-2-5-9-12-13-16-17-18-19-24-26-27-28-29,15,10997.042496484612,5.3875217835307785,0.0,0.0
18,11-10-3-9-8-15-1-2-13-24-27-17-12-29-28-5,1-2-3-5-8-9-10-11-12-13-15-17-24-27-28-29,16,11976.158917711342,5.8671972098699925,0.0,0.0
19,11-16-14-12-25-18-28-1-29-15-9-2-20-24-17-3-27-13-5,1-2-3-5-9-11-12-13-14-15-16-17-18-20-24-25-27-28-29,19,13725.257801721385,6.724091992459567,0.0,0.0
20,8-2-24-18-16-13-14-27-29-3-17-5-9-12,2-3-5-8-9-12-13-14-16-17-18-24-27-29,14,10712.154175403559,5.24795316440538,0.0,0.0
21,13-14-17-18-0-24-29-2-3-5-12-9,0-2-3-5-9-12-13-14-17-18-24-29,12,9556.846741178188,4.681960628634611,0.0,0.0
22,11-6-2-14-18-3-17-24-12-5-9-29-13,2-3-5-6-9-11-12-13-14-17-18-24-29,13,10133.335458395755,4.964386155585352,0.0,0.0
23,4-6-3-28-5-24-20-2-29-13-9-12,2-3-4-5-6-9-12-13-20-24-28-29,12,9418.040628463226,4.613958622078926,0.0,0.0
24,3-1-20-18-27-14-12-17-28-13-9-5-29-24-2,1-2-3-5-9-12-13-14-17-18-20-24-27-28-29,15,11544.773496990283,5.655858720273792,0.0,0.0
25,9-18-28-12-2-29-15-27-1-24-3-17-13-5,1-2-3-5-9-12-13-15-17-18-24-27-28-29,14,10885.320003316838,5.332788216224463,0.0,0.0
26,20-12-24-21-2-27-5-13-9-29,2-5-9-12-13-20-21-24-27-29,10,8239.642818074939,4.03665396265242,0.0,0.0
27,13-10-14-6-18-20-12-5-3-27-2-17-24-9-29,2-3-5-6-9-10-12-13-14-17-18-20-24-27-29,15,11346.226398098908,5.558589220708243,0.0,0.0
28,20-16-13-29-27-2-5-14-19-18-28-17-24-9-12,2-5-9-12-13-14-16-17-18-19-20-24-27-28-29,15,11262.053474122453,5.517352364376044,0.0,0.0
29,7-9-0-28-1-3-20-18-2-15-14-17-24-5-12-13-29,0-1-2-3-5-7-9-12-13-14-15-17-18-20-24-28-29,17,12470.155023217601,6.109209076264535,0.0,0.0
30,26-28-15-24-8-29-3-5-1-17-9-20-27-13-2-12,1-2-3-5-8-9-12-13-15-17-20-24-26-27-28-29,16,11926.362531809427,5.842801640436353,0.0,0.0
31,27-8-1-3-18-12-17-13-29-2-9-28-24-5,1-2-3-5-8-9-12-13-17-18-24-27-28-29,14,10840.988318412228,5.311069838924334,0.0,0.0
32,28-25-17-3-20-1-2-27-12-9-24-5-13-29,1-2-3-5-9-12-13-17-20-24-25-27-28-29,14,10849.92363749056,5.315447309157144,0.0,0.0
33,4-21-20-2-15-13-5-14-17-24-12-29-9,2-4-5-9-12-13-14-15-17-20-21-24-29,13,10029.793854240375,4.913660458374747,0.0,0.0
34,19-3-5-1-10-13-15-14-9-8-24-20-18-2-12-29,1-2-3-5-8-9-10-12-13-14-15-18-19-20-24-29,16,11727.761996015508,5.745505961788876,0.0,0.0
35,3-9-24-1-2-5-29-12-13,1-2-3-5-9-12-13-24-29,9,7710.491522359336,3.777419342675034,0.0,0.0
36,7-12-29-15-6-5-20-1-8-27-14-18-17-24-13-2-9,1-2-5-6-7-8-9-12-13-14-15-17-18-20-24-27-29,17,12348.111131456062,6.049418989464166,0.0,0.0
37,0-20-21-5-18-3-17-2-12-29-13-24-9,0-2-3-5-9-12-13-17-18-20-21-24-29,13,10046.096274791176,4.921647118958244,0.0,0.0
38,9-0-13-10-15-25-4-12-11-3-2-24-29-28-17-27-5,0-2-3-4-5-9-10-11-12-13-15-17-24-25-27-28-29,17,12403.605640933481,6.076606106252295,0.0,0.0
39,2-28-18-20-17-27-3-24-29-5-13-12-9,2-3-5-9-12-13-17-18-20-24-27-28-29,13,10294.106118168414,5.043148734883804,0.0,0.0
40,8-14-18-2-15-24-3-27-28-9-12-17-13-29-5,2-3-5-8-9-12-13-14-15-17-18-24-27-28-29,15,11488.933620389294,5.628502405912574,0.0,0.0
